D1,D2,D3,D4,D5,PowerBall,Prob,NLL,Offset,jProb,jNLL,BoundedP,BoundedNLL,Winners,Jackpot,NLLbeta,Date,is_jackpot,inter_arrival,pD1,pD2,pD3,pD4,pD5,pPowerBall,running_burstiness
10.0,30.0,36.0,38.0,41.0,1.0,6.359287527338018e-10,21.17593458286704,1,1.602518778520761e-08,17.949104115942653,6.541077969649399e-08,16.542578764902245,555105,No,21.512156096814422,2012-01-14,0,0,0.05956893856081842,0.026010434090873284,0.03277076243326938,0.040677207584583014,0.03267208193807813,0.009423809810410378,-0.3427004918470652
5.0,19.0,29.0,45.0,47.0,25.0,5.006879940874297e-09,19.112452882141667,2,8.897094447091128e-08,16.234955987135073,1.1869334062110444e-08,18.249307732500966,524938,No,19.877157248655582,2012-01-11,0,0,0.047305504620687396,0.040831258815912964,0.0371942500615631,0.0373581750054228,0.05302815482861557,0.03517991245057005,-0.3427004918470652
3.0,21.0,24.0,38.0,39.0,24.0,1.8118980492716428e-09,20.128890895107386,3,3.572534560476245e-08,17.147405439146134,1.506169269327164e-08,18.011111224259107,551466,No,20.74389627107928,2012-01-07,0,0,0.03815655116855606,0.04122910622796723,0.03133503704468354,0.040677207584583014,0.02467978544608037,0.03661322627879871,-0.3427004918470652
21.0,35.0,46.0,47.0,50.0,2.0,7.797637120674757e-11,23.27461526837933,4,4.813677302600347e-09,19.151804532944034,8.918741701110846e-08,16.232525872208925,428310,No,22.670896775424744,2012-01-04,0,0,0.02114509321687516,0.014097825161145943,0.013023073312765534,0.03320940990348145,0.055256648587204034,0.010945663976071029,-0.3427004918470652
5.0,23.0,25.0,28.0,40.0,34.0,5.751159609500103e-10,21.276449424246692,5,1.8240294153460666e-08,17.819632725595795,3.825191795116607e-08,17.079072135416816,547135,No,21.380990604223115,2011-12-31,0,0,0.047305504620687396,0.0399684748317973,0.032999009717074104,0.019013612562464834,0.02860829267697112,0.01694605756461253,-0.3427004918470652
16.0,21.0,27.0,41.0,45.0,14.0,4.4883936568493516e-09,19.22177095937087,6,2.5765156634905443e-08,17.47424277581713,2.4577083688164975e-08,17.521451385569005,441833,No,21.06837440309096,2011-12-28,0,0,0.0440434756191161,0.04122910622796723,0.035650853593141574,0.04173983571281697,0.047891603411939654,0.03468369759158729,-0.3427004918470652
14.0,16.0,30.0,51.0,52.0,19.0,3.52437293149606e-09,19.463563308280964,7,5.6644276084786115e-08,16.686474894563403,2.4429796338559842e-08,17.527462288242013,1041610,Yes,20.33280224008014,2011-12-24,1,0,0.05224576368771436,0.03728148819469288,0.03749665799486929,0.023170119182315985,0.052719923230653755,0.039504078599234806,-0.3427004918470652
10.0,13.0,15.0,31.0,54.0,18.0,1.2136101967779857e-09,20.529666285838235,8,3.5167206522125005e-08,17.163151821476184,3.341076612490441e-08,17.21438764983484,787815,No,20.7615288880168,2011-12-21,0,0,0.05956893856081842,0.031058061633799053,0.01328031890786145,0.02663630649607729,0.04739169412634667,0.03912913669269737,0.0
13.0,28.0,49.0,51.0,59.0,33.0,1.7590970519675268e-10,22.461050291194567,9,2.126483587821934e-08,17.666211026200564,2.0329690659360987e-08,17.71118342539039,655813,No,21.24588028278182,2011-12-17,0,0,0.05542612971664279,0.030943909072119084,0.0083283928547449,0.023170119182315985,0.02798152008228899,0.018994999937932393,0.0
2.0,24.0,46.0,52.0,56.0,19.0,5.512064853486558e-10,21.3189116304263,10,7.25873913126044e-08,16.438474603578733,1.8590314312392978e-08,17.800625127750127,569945,No,20.075412201794315,2011-12-14,0,0,0.03337924839235353,0.03875590151735772,0.013023073312765534,0.02063372152615991,0.040139035687326394,0.039504078599234806,0.0
