draw,mu,std,z1,z2,zmin,zmax,numerator,denominator,a,b,prob,cumprob,KL,TV,KL-merged,Chi,ChiP
D1,8.830434782608696,6.973650193820233,0.9999999999999999,-1.0,-1.122860276178996,6.620573721679488,0.6826894921370859,0.8692515795890217,15.804084976428928,1.8567845887884635,0.7853761881685144,0.7853761881685144,0.01350803420680507,0.04844037827927355,0.009308707784891332,19.90346469415853,0.8679579856905765
D2,17.90695652173913,8.977054414439829,1.0000000000000002,-1.0,-1.883352349356805,4.131983807360656,0.682689492137086,0.9701557010094184,26.88401093617896,8.9299021072993,0.7036906461785131,0.5526618773455194,0.024485025066226573,0.07019842389420339,0.01988947396984405,41.00522789167892,0.4262501615712886
D3,26.41913043478261,9.360769344689906,1.0,-1.0,-2.715495863510636,3.053260743085235,0.6826894921370859,0.9955593240781226,35.779899779472515,17.058361090092703,0.6857346173411103,0.3789793809805494,0.03968493413016587,0.10739548912121583,0.036842084329672314,77.75008291105782,0.001276108728430203
D4,35.40086956521739,9.057701075025644,1.0000000000000004,-1.0,-3.7979691844842645,2.1638084843429346,0.682689492137086,0.9846875314095882,44.45857064024304,26.343168490191747,0.6933057141079164,0.2627485703628959,0.05154613404497999,0.11840093812510215,0.048343780959382625,101.331722393724,3.142392658306292e-07
D5,44.133043478260866,7.193982856294792,0.9999999999999996,-0.9999999999999996,-5.995711185288566,1.5105619152581746,0.6826894921370856,0.9345499472949995,51.327026334555654,36.93906062196608,0.7305008085582698,0.1919380430976249,0.14652972541597095,0.2406104594735225,0.13968645621049636,294.46146182009096,0.0
PowerBall,20.92782608695652,11.99532145398152,0.9999999999999999,-1.0,-1.6612998795744671,1.7566993926660586,0.6826894921370859,0.9121888523363478,32.92314754093804,8.932504632975002,0.7484080630765705,0.14364797906540078,0.02174890040192449,0.08293995859213252,0.02174890040192449,51.2,0.1320257944841455
