D1,D2,D3,D4,D5,PowerBall,Prob,NLL,Offset,jProb,jNLL,BoundedP,BoundedNLL,Winners,Jackpot,NLLbeta,Date,is_jackpot,inter_arrival,pD1,pD2,pD3,pD4,pD5,pPowerBall,running_burstiness
6.0,26.0,33.0,44.0,46.0,4.0,1.5069100745630968e-09,20.313204590905247,1,5.646498394512028e-08,16.689645144104116,1.6032053847179895e-08,17.948675753318316,318229,No,20.199354019128837,2015-10-03,0,0,0.0493481820298086,0.03258873894559696,0.03470008442017676,0.03580203095205185,0.050046565649676245,0.015070794492361367,0.0
21.0,39.0,40.0,55.0,59.0,17.0,5.7546210381712336e-11,23.578432832073688,2,5.423126960414724e-09,19.03259325788915,5.296301592597888e-08,16.75367197969629,1369056,Yes,22.468738158627094,2015-09-30,1,0,0.023454326802264138,0.005701962637996443,0.02345797621882,0.01459368998937697,0.028885323986882684,0.043514749577766756,-0.3207776012490745
23.0,31.0,42.0,50.0,57.0,5.0,1.0507119991977752e-10,22.97638290109913,3,1.2502128283154721e-08,18.19736694447882,2.7150068200971315e-08,17.421886278563314,888150,No,21.655335849369607,2015-09-26,0,0,0.01660585344537511,0.020361055181495568,0.01949190406590614,0.024946400745935057,0.03677428824539606,0.017378639506124827,0.0
8.0,29.0,41.0,51.0,58.0,5.0,3.814252719682342e-10,21.687106163897525,4,6.676807366670677e-08,16.522040809774275,1.4059856746931575e-08,18.07994213931199,790478,No,20.04556833212991,2015-09-23,0,0,0.053943170553854766,0.025324604292833716,0.021470494053471328,0.022796295732226086,0.032825264385512594,0.017378639506124827,0.0
12.0,17.0,26.0,43.0,48.0,24.0,5.669764609403756e-09,18.988118235164865,5,5.406006186659735e-08,16.733170151692597,1.8605732891447178e-08,17.799796083746994,652860,No,20.251742830981957,2015-09-19,0,0,0.054177162789482036,0.040457926798196125,0.034430738133245556,0.03690319553384878,0.05380170895275508,0.03783892314524229,0.0
5.0,7.0,24.0,31.0,39.0,7.0,4.440081477775137e-10,21.535178202814443,6,1.6843019473707136e-08,17.89932954054089,3.651487433405997e-08,17.125546143368418,601921,No,21.385632911377783,2015-09-16,0,0,0.046185659401541644,0.019887807936987245,0.03192463916980163,0.02725002546716933,0.024788896716234715,0.02241541409123461,-0.3592455179659185
2.0,3.0,13.0,16.0,35.0,27.0,5.6620261153217845e-12,25.897239316864844,7,4.3158573346279514e-10,21.563554938089055,2.699492495410862e-07,15.12503186027825,485347,No,24.89558933738894,2015-09-12,0,0,0.03471280458596941,0.011312426716865517,0.01176403765867433,0.0033034677614802704,0.012123157746226645,0.030604419808992235,-0.3592455179659185
44.0,45.0,47.0,50.0,51.0,8.0,6.928821703614002e-15,32.60308662450385,8,1.813300212955448e-11,24.733287515815842,3.4606866002214837e-06,12.574043549210757,429757,No,27.773449558403808,2015-09-09,0,0,1.3403387991205104e-05,0.0014419352163622017,0.0106371764699104,0.024946400745935057,0.05388484745993239,0.025072528356368775,-0.3592455179659185
10.0,16.0,18.0,29.0,45.0,19.0,2.19302888342135e-09,19.93798219686262,9,1.8555072946874692e-08,17.802522611055174,3.2222058963790134e-08,17.25061455795594,445152,No,21.267813561504298,2015-09-05,0,0,0.05564824880748002,0.039419868359212164,0.02092774958700879,0.022984909539754305,0.04724664397766521,0.043988726167717984,-0.3592455179659185
17.0,22.0,30.0,46.0,56.0,16.0,3.2202743810080264e-09,19.55379926952721,10,6.022369478506263e-08,16.625199960991445,1.725327812284334e-08,17.875263675416758,372807,No,20.143478035073713,2015-09-02,0,0,0.03932744043908904,0.03965231162112697,0.03631748581668221,0.032844119784015795,0.04061489852096801,0.0426255414869972,-0.3592455179659185
18.0,21.0,25.0,28.0,29.0,16.0,1.1465886853927131e-10,22.889059756460796,11,1.5617414537912325e-09,20.27746432177011,4.6412327114081495e-07,14.58311564944223,387082,No,23.632961998834016,2015-08-29,0,0,0.035319037401555675,0.040616813757055316,0.03328938714323788,0.020840687165406917,0.002702745781404223,0.0426255414869972,-0.4547544660011612
2.0,22.0,32.0,45.0,56.0,12.0,2.424692866056307e-09,19.83756097375081,12,2.1152341289075194e-07,15.368930145339734,7.488763110952018e-09,18.709862191778882,379297,No,18.924797211238385,2015-08-26,0,0,0.03471280458596941,0.03965231162112697,0.03551933955370184,0.03443807609752981,0.04061489852096801,0.035457603961010734,-0.4547544660011612
4.0,12.0,14.0,21.0,55.0,7.0,1.505425489221379e-10,22.61677535460595,13,2.0462681994639106e-08,17.70466300023182,2.6812526812526815e-08,17.434396640257674,395217,No,21.153271891543962,2015-08-22,0,0,0.04260450948762857,0.0321447283396918,0.013417393882602434,0.008265087919656513,0.0442213017214227,0.02241541409123461,-0.4547544660011612
6.0,8.0,43.0,48.0,50.0,7.0,6.897992711857016e-10,21.094620471985223,14,5.2996275167973395e-08,16.753044205713593,5.6527834305612076e-08,16.688532677525323,342494,No,20.296194918657427,2015-08-19,0,0,0.0493481820298086,0.02233478642806307,0.01755202477729011,0.029117742719862758,0.054630864786171705,0.02241541409123461,-0.4547544660011612
3.0,13.0,17.0,42.0,52.0,24.0,1.885428168540897e-09,20.08911089672545,15,9.953991025848447e-08,16.122707165078754,1.311713496587446e-08,18.14934644878047,314097,No,19.660899213202935,2015-08-15,0,0,0.038736147090830994,0.03433830477556568,0.01895692289121162,0.03771445301343498,0.052396260629244566,0.03783892314524229,-0.4547544660011612
8.0,13.0,29.0,38.0,52.0,28.0,3.715809909612844e-09,19.410669171874613,16,9.7047699180157e-08,16.14806323518422,1.2298307752853209e-08,18.213804165102026,261489,No,19.685369711130853,2015-08-12,0,0,0.053943170553854766,0.03433830477556568,0.036277079664852115,0.03777099736097795,0.052396260629244566,0.02794133186522382,-0.4547544660011612
9.0,34.0,48.0,52.0,54.0,15.0,2.8004226844101697e-10,21.9960805654345,17,1.4105667509865163e-08,18.076689169268708,4.6071060002948544e-08,16.8930808497339,293602,No,21.535018063274254,2015-08-08,0,0,0.055187125040053166,0.01361751952836566,0.009196084995062404,0.020654191452660113,0.04746600997115375,0.041332712660117836,-0.4547544660011612
9.0,11.0,14.0,16.0,42.0,19.0,1.1697801524617253e-10,22.8690351026658,18,1.9377976166764646e-09,20.061713757890434,1.7496710618403738e-07,15.55866784535311,269315,No,23.40774274380012,2015-08-05,0,0,0.055187125040053166,0.02979171533405679,0.013417393882602434,0.0033034677614802704,0.03649146851366646,0.043988726167717984,-0.4547544660011612
7.0,13.0,24.0,49.0,57.0,15.0,2.3438492011740787e-09,19.871471301271264,19,1.4995190625247153e-07,15.712951219244857,1.6104926819212534e-08,17.944140598152927,406185,Yes,19.279800414435122,2015-08-01,1,17,0.0519693874774364,0.03433830477556568,0.03192463916980163,0.027066932217184175,0.03677428824539606,0.041332712660117836,-0.4547544660011612
4.0,22.0,27.0,28.0,52.0,35.0,7.24449309820633e-10,21.045609322356544,20,6.463413419059486e-08,16.55452317266504,1.803751803751804e-08,17.830811912845924,357907,No,20.051811439887725,2015-07-29,0,0,0.04260450948762857,0.03965231162112697,0.03532218798977358,0.020840687165406917,0.052396260629244566,0.011117931578585285,-0.759232531705837
27.0,29.0,34.0,41.0,44.0,2.0,1.100644129623987e-10,22.929955349131298,21,4.518737055898598e-09,19.21503329455701,1.0479313311557318e-07,16.071277590912604,319867,No,22.623567949469397,2015-07-25,0,0,0.0069965964455341425,0.025324604292833716,0.03362458335625913,0.03821546784413913,0.04397164403692794,0.010993820263511684,-0.759232531705837
12.0,31.0,43.0,44.0,57.0,11.0,8.4157224454565e-10,20.895749253878613,22,3.915509142931605e-08,17.05573537368517,1.503696084976873e-08,18.01275461000284,301612,No,20.542910260313764,2015-07-22,0,0,0.054177162789482036,0.020361055181495568,0.01755202477729011,0.03580203095205185,0.03677428824539606,0.03301381417010192,-0.759232531705837
6.0,37.0,39.0,45.0,55.0,33.0,2.420199671208268e-10,22.14200088441177,23,4.042944300223461e-08,17.023707530231704,1.8688794198998278e-08,17.795341733397613,286547,No,20.502872334584122,2015-07-18,0,0,0.0493481820298086,0.00832318025886496,0.025421418260994186,0.03443807609752981,0.0442213017214227,0.015220207000012287,-0.759232531705837
13.0,16.0,34.0,45.0,50.0,11.0,4.306376746242649e-09,19.263168948509993,24,5.977014932609999e-08,16.632759475768044,1.8688794198998278e-08,17.795341733397613,283884,No,20.158995240890373,2015-07-15,0,0,0.05230789958453981,0.039419868359212164,0.03362458335625913,0.03443807609752981,0.054630864786171705,0.03301381417010192,-0.18444350758309083
11.0,39.0,46.0,52.0,54.0,3.0,4.8814690429431594e-11,23.742989814980916,25,8.834581666509007e-09,18.54459208187031,4.50630702731543e-08,16.915202766821167,296206,No,21.979520151591146,2015-07-11,0,0,0.05530668962235822,0.005701962637996443,0.01220423278098364,0.020654191452660113,0.04746600997115375,0.012937402815040935,-0.18444350758309083
4.0,15.0,25.0,27.0,30.0,18.0,1.5982070011735308e-10,22.556968553330123,26,6.152153193691009e-09,18.90646370360788,8.056459669362896e-08,16.33420653090835,263140,No,22.31588905247335,2015-07-08,0,0,0.04260450948762857,0.0380260798541169,0.03328938714323788,0.018735651458540156,0.003596894149455429,0.043973764625545655,-0.09990070759441533
3.0,6.0,14.0,18.0,24.0,21.0,9.947803912812505e-13,27.636254394392783,27,2.6077546175856354e-10,22.067361378651704,1.8037518037518037e-07,15.528226819851875,312551,Yes,25.33475249842723,2015-07-04,1,8,0.038736147090830994,0.017532622068196328,0.013417393882602434,0.004891234107620089,0.0005227195026529452,0.042698104975586376,-0.09990070759441533
7.0,24.0,26.0,31.0,41.0,25.0,2.0723228609973673e-09,19.99459570374332,28,2.1324659834347836e-08,17.663401695191894,3.1812201124370425e-08,17.26341593759154,275876,No,21.12629105250168,2015-07-01,0,0,0.0519693874774364,0.03667400595758764,0.034430738133245556,0.02725002546716933,0.032539302532249896,0.035614756800548056,-0.07058145950823687
18.0,28.0,35.0,46.0,49.0,27.0,1.7430318733051904e-09,20.167639784112616,29,2.1719434008949085e-08,17.645058400740044,2.5897933137752144e-08,17.46910267305643,285585,No,21.124229244902285,2015-06-27,0,0,0.035319037401555675,0.027822498196972332,0.032317966233889654,0.032844119784015795,0.054602753813331247,0.030604419808992235,-0.07058145950823687
3.0,5.0,10.0,22.0,32.0,7.0,5.926027137432279e-12,25.851667087403207,30,7.595565009973055e-10,20.998286404299847,1.3122532963802803e-07,15.846349917804892,312358,No,24.34170851310948,2015-06-24,0,0,0.038736147090830994,0.015302474563205583,0.007550670209924029,0.00967755267129492,0.006103623500641188,0.02241541409123461,-0.07058145950823687
