draw,mu,std,z1,z2,zmin,zmax,numerator,denominator,a,b,prob,cumprob,KL,TV,KL-merged,Chi,ChiP
D1,10.129518072289157,7.552321169948552,0.9999999999999998,-1.0,-1.2088360474679534,6.470922095073422,0.6826894921370859,0.8866370801138072,17.681839242237707,2.5771969023406047,0.7699762478346349,0.7699762478346349,0.0523645051032007,0.12019177645180623,0.03045477216013704,21.09352052927856,0.39164650912885635
D2,20.47590361445783,9.907549568684415,0.9999999999999998,-1.0,-1.9657639338002284,3.8883576729515803,0.6826894921370859,0.9752865947214132,30.383453183142244,10.568354045773416,0.6999885939497542,0.5389745910964736,0.09360345504971834,0.14547508300734333,0.06495276457053101,40.17870902807485,0.15194946773101792
D3,30.427710843373493,10.70353938980027,0.9999999999999997,-1.0,-2.749343910614844,2.6694243946870433,0.6826894921370857,0.993215196339318,41.13125023317376,19.724171453573224,0.6873530476106957,0.3704658277748897,0.08247325273848494,0.15914787654169185,0.053575561488439505,34.38691493767164,0.44922322866618736
D4,40.32831325301205,9.81632124093346,1.0000000000000002,-1.0000000000000002,-4.00642076473775,1.9021063276870116,0.6826894921370861,0.9713905494054538,50.14463449394551,30.511992012078586,0.7027961025098822,0.26036193987328976,0.10238125475632007,0.16933342097689824,0.07019945833383401,49.378597587407995,0.025563972355153175
D5,49.42168674698795,8.195674169457227,1.0,-1.0,-5.908200563590093,1.1687035202921432,0.6826894921370859,0.8787384466937843,57.61736091644518,41.226012577530724,0.7768972607329016,0.20227447788666322,0.07943037349815896,0.11091835400164385,0.02411665449498753,17.77181221353307,0.6024371121206787
PowerBall,19.656626506024097,11.012881145409716,0.9999999999999999,-1.0,-1.6940731730134373,1.7564316947194534,0.6826894921370859,0.9153669478501602,30.66950765143381,8.64374536061438,0.7458096381352387,0.15085825515664664,0.06982550344259782,0.14233858510966946,0.06982550344259782,40.6144578313253,0.35590584586277535
