D1,D2,D3,D4,D5,PowerBall,Winners,Jackpot,Date
23.0,27.0,32.0,35.0,59.0,11.0,289165,No,2025-05-28
13.0,47.0,52.0,64.0,67.0,25.0,216606,No,2025-05-26
12.0,18.0,28.0,48.0,52.0,5.0,399261,No,2025-05-24
9.0,29.0,31.0,34.0,43.0,2.0,247124,No,2025-05-21
13.0,14.0,37.0,50.0,60.0,11.0,243208,No,2025-05-19
7.0,34.0,40.0,42.0,52.0,15.0,349534,No,2025-05-17
4.0,10.0,24.0,29.0,53.0,4.0,254681,No,2025-05-14
15.0,16.0,41.0,48.0,60.0,21.0,202948,No,2025-05-12
5.0,20.0,28.0,39.0,42.0,13.0,349824,No,2025-05-10
14.0,15.0,30.0,40.0,59.0,20.0,209219,No,2025-05-07
16.0,34.0,40.0,45.0,66.0,19.0,185095,No,2025-05-05
10.0,21.0,23.0,35.0,65.0,24.0,294869,No,2025-05-03
1.0,2.0,3.0,57.0,59.0,9.0,212250,No,2025-04-30
26.0,43.0,51.0,56.0,60.0,24.0,164676,No,2025-04-28
1.0,12.0,14.0,18.0,69.0,2.0,386267,Yes,2025-04-26
15.0,44.0,63.0,66.0,69.0,20.0,267064,No,2025-04-23
4.0,33.0,45.0,46.0,51.0,25.0,224285,No,2025-04-21
7.0,25.0,37.0,39.0,63.0,1.0,370999,No,2025-04-19
20.0,24.0,42.0,43.0,49.0,19.0,251929,No,2025-04-16
3.0,20.0,30.0,52.0,62.0,1.0,216972,No,2025-04-14
16.0,22.0,44.0,45.0,53.0,19.0,339852,No,2025-04-12
4.0,29.0,37.0,55.0,67.0,10.0,236980,No,2025-04-09
20.0,23.0,48.0,59.0,66.0,4.0,213899,No,2025-04-07
4.0,23.0,30.0,46.0,62.0,2.0,312270,No,2025-04-05
5.0,17.0,41.0,64.0,69.0,1.0,195745,No,2025-04-02
12.0,41.0,44.0,52.0,64.0,25.0,180180,No,2025-03-31
7.0,11.0,21.0,53.0,61.0,2.0,720373,Yes,2025-03-29
5.0,20.0,29.0,39.0,53.0,6.0,454653,No,2025-03-26
6.0,23.0,35.0,36.0,47.0,12.0,392656,No,2025-03-24
6.0,7.0,25.0,46.0,57.0,12.0,640899,No,2025-03-22
8.0,11.0,21.0,49.0,59.0,15.0,402181,No,2025-03-19
11.0,18.0,23.0,38.0,60.0,9.0,384388,No,2025-03-17
12.0,28.0,33.0,36.0,54.0,5.0,549555,No,2025-03-15
11.0,13.0,28.0,51.0,58.0,1.0,343884,No,2025-03-12
17.0,40.0,47.0,50.0,55.0,6.0,321279,No,2025-03-10
2.0,4.0,16.0,23.0,63.0,13.0,542864,No,2025-03-08
24.0,28.0,40.0,63.0,65.0,20.0,313943,No,2025-03-05
18.0,20.0,50.0,52.0,56.0,20.0,283895,No,2025-03-03
2.0,23.0,36.0,44.0,49.0,25.0,466205,No,2025-03-01
28.0,48.0,55.0,60.0,62.0,20.0,308260,No,2025-02-26
10.0,11.0,34.0,59.0,68.0,14.0,281983,No,2025-02-24
7.0,18.0,22.0,50.0,65.0,15.0,429953,No,2025-02-22
6.0,21.0,28.0,49.0,60.0,20.0,268735,No,2025-02-19
4.0,44.0,47.0,52.0,57.0,9.0,262897,No,2025-02-17
3.0,16.0,45.0,54.0,56.0,12.0,414917,No,2025-02-15
21.0,32.0,36.0,45.0,49.0,18.0,274901,No,2025-02-12
2.0,17.0,18.0,29.0,43.0,3.0,256645,No,2025-02-10
23.0,44.0,57.0,60.0,62.0,9.0,422378,No,2025-02-08
19.0,27.0,30.0,50.0,62.0,14.0,267087,No,2025-02-05
12.0,37.0,47.0,54.0,60.0,17.0,246706,No,2025-02-03
23.0,29.0,32.0,49.0,61.0,8.0,371968,No,2025-02-01
8.0,12.0,31.0,33.0,38.0,18.0,245895,No,2025-01-29
2.0,40.0,47.0,53.0,55.0,20.0,191693,No,2025-01-27
8.0,15.0,17.0,53.0,66.0,14.0,320303,No,2025-01-25
5.0,6.0,27.0,40.0,49.0,5.0,214519,No,2025-01-22
15.0,16.0,32.0,47.0,54.0,6.0,176771,No,2025-01-20
14.0,31.0,35.0,64.0,69.0,23.0,556867,Yes,2025-01-18
8.0,41.0,52.0,53.0,58.0,7.0,422266,No,2025-01-15
4.0,6.0,16.0,39.0,66.0,9.0,345830,No,2025-01-13
3.0,6.0,32.0,37.0,65.0,4.0,512844,No,2025-01-11
1.0,20.0,36.0,38.0,43.0,24.0,341100,No,2025-01-08
17.0,34.0,46.0,66.0,67.0,14.0,291790,No,2025-01-06
26.0,32.0,43.0,54.0,56.0,24.0,488417,No,2025-01-04
6.0,12.0,28.0,35.0,66.0,26.0,330759,No,2025-01-01
9.0,19.0,33.0,38.0,39.0,1.0,299166,No,2024-12-30
6.0,31.0,51.0,54.0,55.0,12.0,627076,No,2024-12-28
15.0,26.0,27.0,30.0,35.0,3.0,353002,No,2024-12-25
22.0,42.0,44.0,57.0,64.0,18.0,320314,No,2024-12-23
1.0,12.0,17.0,21.0,58.0,1.0,376561,No,2024-12-21
6.0,15.0,18.0,33.0,49.0,7.0,288370,No,2024-12-18
9.0,30.0,33.0,57.0,61.0,17.0,202438,No,2024-12-16
12.0,17.0,23.0,52.0,67.0,1.0,310245,No,2024-12-14
13.0,44.0,50.0,52.0,54.0,20.0,201548,No,2024-12-11
35.0,37.0,40.0,45.0,51.0,24.0,181238,No,2024-12-09
1.0,31.0,43.0,55.0,57.0,22.0,426887,Yes,2024-12-07
1.0,23.0,25.0,28.0,61.0,13.0,324006,No,2024-12-04
3.0,9.0,26.0,61.0,67.0,13.0,283004,No,2024-12-02
4.0,24.0,29.0,39.0,63.0,25.0,360784,No,2024-11-30
1.0,6.0,7.0,13.0,40.0,5.0,323352,No,2024-11-27
5.0,35.0,45.0,60.0,63.0,12.0,238200,No,2024-11-25
12.0,13.0,34.0,44.0,67.0,8.0,374816,No,2024-11-23
16.0,30.0,60.0,62.0,64.0,25.0,244032,No,2024-11-20
27.0,31.0,41.0,52.0,69.0,26.0,214532,No,2024-11-18
21.0,22.0,25.0,32.0,38.0,16.0,335433,No,2024-11-16
9.0,20.0,26.0,43.0,58.0,9.0,254954,No,2024-11-13
3.0,21.0,24.0,34.0,46.0,9.0,224255,No,2024-11-11
11.0,24.0,50.0,56.0,66.0,16.0,305689,No,2024-11-09
12.0,17.0,37.0,58.0,62.0,4.0,227835,No,2024-11-06
6.0,18.0,33.0,48.0,53.0,21.0,195084,No,2024-11-04
10.0,45.0,48.0,58.0,61.0,2.0,302250,No,2024-11-02
13.0,22.0,29.0,43.0,58.0,22.0,200241,No,2024-10-30
21.0,27.0,32.0,48.0,67.0,17.0,177781,No,2024-10-28
8.0,12.0,40.0,45.0,51.0,15.0,293047,No,2024-10-26
2.0,15.0,27.0,29.0,39.0,20.0,474493,Yes,2024-10-23
1.0,25.0,57.0,62.0,64.0,15.0,403292,No,2024-10-21
7.0,16.0,19.0,45.0,64.0,25.0,609482,No,2024-10-19
4.0,30.0,39.0,44.0,60.0,11.0,478751,No,2024-10-16
14.0,18.0,33.0,64.0,67.0,14.0,363563,No,2024-10-14
5.0,14.0,20.0,41.0,57.0,6.0,569080,No,2024-10-12
25.0,32.0,43.0,53.0,66.0,10.0,414529,No,2024-10-09
18.0,30.0,31.0,52.0,63.0,22.0,345652,No,2024-10-07
2.0,12.0,46.0,52.0,65.0,3.0,560040,No,2024-10-05
1.0,2.0,21.0,37.0,43.0,21.0,380651,No,2024-10-02
9.0,11.0,30.0,43.0,69.0,20.0,325316,No,2024-09-30
3.0,11.0,13.0,24.0,39.0,22.0,508533,No,2024-09-28
2.0,26.0,45.0,46.0,52.0,21.0,366194,No,2024-09-25
15.0,21.0,25.0,37.0,45.0,19.0,309743,No,2024-09-23
17.0,19.0,21.0,37.0,45.0,14.0,468627,No,2024-09-21
1.0,11.0,22.0,47.0,68.0,7.0,364774,No,2024-09-18
8.0,9.0,11.0,27.0,31.0,17.0,288666,No,2024-09-16
29.0,34.0,38.0,48.0,56.0,16.0,425004,No,2024-09-14
