D1,D2,D3,D4,D5,PowerBall,Winners,Jackpot,Date
10.0,30.0,36.0,38.0,41.0,1.0,555105,No,2012-01-14
5.0,19.0,29.0,45.0,47.0,25.0,524938,No,2012-01-11
3.0,21.0,24.0,38.0,39.0,24.0,551466,No,2012-01-07
21.0,35.0,46.0,47.0,50.0,2.0,428310,No,2012-01-04
5.0,23.0,25.0,28.0,40.0,34.0,547135,No,2011-12-31
16.0,21.0,27.0,41.0,45.0,14.0,441833,No,2011-12-28
14.0,16.0,30.0,51.0,52.0,19.0,1041610,Yes,2011-12-24
10.0,13.0,15.0,31.0,54.0,18.0,787815,No,2011-12-21
13.0,28.0,49.0,51.0,59.0,33.0,655813,No,2011-12-17
2.0,24.0,46.0,52.0,56.0,19.0,569945,No,2011-12-14
4.0,19.0,33.0,41.0,59.0,9.0,596901,No,2011-12-10
3.0,14.0,20.0,39.0,40.0,37.0,466021,No,2011-12-07
5.0,18.0,33.0,43.0,45.0,8.0,552598,No,2011-12-03
2.0,6.0,34.0,35.0,47.0,22.0,454184,No,2011-11-30
20.0,37.0,39.0,45.0,55.0,28.0,426965,No,2011-11-26
4.0,30.0,35.0,57.0,59.0,25.0,475304,No,2011-11-23
9.0,16.0,17.0,28.0,30.0,11.0,679677,Yes,2011-11-19
13.0,22.0,25.0,39.0,51.0,28.0,518879,No,2011-11-16
4.0,35.0,36.0,51.0,56.0,8.0,594182,No,2011-11-12
5.0,35.0,57.0,58.0,59.0,12.0,496333,No,2011-11-09
2.0,33.0,39.0,40.0,43.0,26.0,533348,No,2011-11-05
12.0,14.0,34.0,39.0,46.0,36.0,2022817,Yes,2011-11-02
11.0,16.0,40.0,51.0,56.0,38.0,1411045,No,2011-10-29
1.0,18.0,21.0,39.0,55.0,6.0,1189632,No,2011-10-26
3.0,8.0,23.0,30.0,58.0,13.0,1076140,No,2011-10-22
16.0,26.0,35.0,52.0,58.0,2.0,839271,No,2011-10-19
5.0,10.0,24.0,38.0,43.0,1.0,779309,No,2011-10-15
10.0,12.0,23.0,43.0,47.0,18.0,631270,No,2011-10-12
3.0,27.0,35.0,37.0,45.0,31.0,608006,No,2011-10-08
7.0,20.0,43.0,46.0,54.0,17.0,538404,No,2011-10-05
1.0,12.0,23.0,27.0,43.0,31.0,530487,No,2011-10-01
30.0,41.0,50.0,51.0,53.0,8.0,458715,No,2011-09-28
3.0,4.0,12.0,27.0,44.0,26.0,494377,No,2011-09-24
12.0,47.0,48.0,52.0,55.0,13.0,457799,No,2011-09-21
6.0,20.0,22.0,32.0,43.0,11.0,514293,No,2011-09-17
16.0,41.0,42.0,50.0,59.0,5.0,465312,Yes,2011-09-14
4.0,19.0,22.0,32.0,53.0,24.0,520031,No,2011-09-10
3.0,5.0,18.0,27.0,54.0,13.0,841289,Yes,2011-09-07
15.0,25.0,52.0,53.0,54.0,2.0,709050,No,2011-09-03
13.0,19.0,35.0,47.0,57.0,29.0,575465,No,2011-08-31
2.0,12.0,25.0,54.0,58.0,14.0,612522,No,2011-08-27
9.0,13.0,47.0,49.0,53.0,39.0,537142,No,2011-08-24
2.0,17.0,23.0,28.0,47.0,36.0,524193,No,2011-08-20
18.0,28.0,31.0,48.0,52.0,37.0,438419,No,2011-08-17
9.0,12.0,35.0,50.0,58.0,4.0,547501,No,2011-08-13
11.0,18.0,36.0,41.0,46.0,38.0,1638599,Yes,2011-08-10
25.0,30.0,54.0,57.0,59.0,6.0,1241526,No,2011-08-06
13.0,19.0,21.0,28.0,49.0,11.0,1107996,No,2011-08-03
20.0,40.0,41.0,47.0,55.0,19.0,933944,No,2011-07-30
38.0,40.0,41.0,51.0,59.0,33.0,772405,No,2011-07-27
1.0,7.0,27.0,38.0,48.0,30.0,659333,No,2011-07-23
1.0,4.0,38.0,40.0,42.0,17.0,559932,No,2011-07-20
24.0,28.0,48.0,50.0,54.0,25.0,566329,No,2011-07-16
8.0,18.0,19.0,32.0,54.0,8.0,489950,No,2011-07-13
1.0,9.0,11.0,23.0,31.0,6.0,522952,No,2011-07-09
11.0,15.0,24.0,50.0,55.0,8.0,411278,No,2011-07-06
1.0,11.0,18.0,29.0,51.0,32.0,449901,No,2011-07-02
24.0,30.0,45.0,57.0,59.0,26.0,520480,Yes,2011-06-29
18.0,36.0,39.0,41.0,57.0,12.0,570528,No,2011-06-25
